Sociedad,Linea Negocio,Orden de Compra,Pais de Origen,Fecha Orden,Sol. Compra,Fecha Solicitud,Codigo Proveedor,Tipo de Compra,Proveedor,CANCELED,U_EXM_CARGADOA,N° Documento,Nombre de cliente,Estado,Número de artículo,LineNum,Part Number,Dscription,Tipo Producto,Fecha Necesaria,UM,Modalidad,Solicitado,Pendiente,Moneda,Precio,Total Moneda,Total Soles,Total dolares,LineId,Max Liena,U_HAK_IMPORT,U_HAK_FEPFAB,1° Reprogramacion,2° Reprogramacion,3° Reprogramacion,4° Reprogramacion,5° Reprogramacion,6° Reprogramacion,7° Reprogramacion,Total,Ultima Fecha,Fecha P Consolidador,Fecha R Consolidador,Cantidad Embarcada,Fecha ETD,Fecha ETA Callao,Fecha ETA Marco,Embarque,Procedencia,REGULARIZACIÓN,CentroCosto,U_EXM_CARGADOA2,FreeTxt,Modalidad Original,Promedio Tiempo Total,Dias adicionales,Th_Art_Prov_Local,Var_Art_Prov_Local,Varm_Art_Prov_Local,Th_Fam_Prov_Local,Var_Fam_Prov_Local,Varm_Fam_Prov_Local,Th_Prov_Local,Var_Prov_Local,Varm_Prov_Local,Th_Fam_Local,Var_Fam_Local,Varm_Fam_Local,Th_Art_Prov_Pa_Imp,Var_Art_Prov_Pa_Imp,Varm_Art_Prov_Pa_Imp,Th_Fam_Prov_Pa_Imp,Var_Fam_Prov_Pa_Imp,Varm_Fam_Prov_Pa_Imp,Th_Prov_Pa_Imp,Var_Prov_Pa_Imp,Varm_Prov_Pa_Imp,Th_Fam_Pa_Imp,Var_Fam_Pa_Imp,Varm_Fam_Pa_Imp,Facturacion Aproximada,ETA Marco,ETA Marco Moderado,ETA Marco Maximo,Rango,Cat ETA
MP,HIDRAULICA PROYECTOS,256800412,PE,2025-01-20,259300410.0,2025-01-20,P20338570041,Local,LINDE PERU S.R.L.,,OF,247701520.0,LEARDINI PESCADOS LTDA,Cerrado,A18110009492,0,OXIGENO,OXIGENO,Repuestos,2025-01-24,METRO CÚBICO,LOCAL,80,22,SOL,10.67,853.6,853.6,0,1.0,1,,,,,,,,,,0,,,,80,,,,,, ,9132,,,LOCAL,0,0.0,4,5,3,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-09 00:00:00,2026-07-11 00:00:00,[2026-07-06 00:00:00-2026-07-11 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256804907,PE,2025-06-10,259304427.0,2025-06-04,P20338570041,Local,LINDE PERU S.R.L.,,OF,257700449.0,NIRSA  S.A.,Cerrado,A18110009492,0,OXIGENO,OXIGENO,Repuestos,2025-06-16,METRO CÚBICO,LOCAL,40,30,SOL,10.67,426.8,426.8,0,1.0,1,,,,,,,,,,0,,,,40,,,,,, ,9132,,,LOCAL,0,0.0,4,5,3,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-09 00:00:00,2026-07-11 00:00:00,[2026-07-06 00:00:00-2026-07-11 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256804907,PE,2025-06-10,259304427.0,2025-06-04,P20338570041,Local,LINDE PERU S.R.L.,,OF,257700220.0,VULCO PERU S.A.,Cerrado,A18110009405,2,ACETILENO,ACETILENO,Repuestos,2025-06-16,KILO,LOCAL,28,21,SOL,31.9,893.2,893.2,0,1.0,1,,,,,,,,,,0,,,,28,,,,,, ,9132,,,LOCAL,0,0.0,4,4,2,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-08 00:00:00,2026-07-10 00:00:00,[2026-07-06 00:00:00-2026-07-10 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008189,4,2000 T/L,TRAJE TIVEK MICROGARD 2000 TALLA L,,2024-11-26,UNIDAD,LOCAL,40,40,USD,4,160,607.52,160,1.0,1,,,,,,,,,,0,,,,40,,,,,, ,9708,,,LOCAL,0,0.0,7,9,5,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-09,2026-07-14 00:00:00,2026-07-18 00:00:00,[2026-07-09 00:00:00-2026-07-18 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008188,5,2000 T/M,TRAJE TIVEK MICROGARD 2000 TALLA M,,2024-11-26,UNIDAD,LOCAL,20,20,USD,4,80,303.76,80,1.0,1,,,,,,,,,,0,,,,20,,,,,, ,9708,,,LOCAL,0,0.0,7,9,5,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-09,2026-07-14 00:00:00,2026-07-18 00:00:00,[2026-07-09 00:00:00-2026-07-18 00:00:00],Cat N
MP,HIDRAULICA PROYECTOS,256803049,PE,2025-04-11,259302858.0,2025-04-10,P20338570041,Local,LINDE PERU S.R.L.,,OF,257700449.0,NIRSA  S.A.,Cerrado,A18110009405,2,ACETILENO,ACETILENO,Repuestos,2025-04-15,KILO,LOCAL,32,4,SOL,31.9,1020.8,1020.8,0,1.0,1,,,,,,,,,,0,,,,32,,,,,, ,9132,,,LOCAL,0,0.0,4,4,2,7,22,11,7,21,11,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-08 00:00:00,2026-07-10 00:00:00,[2026-07-06 00:00:00-2026-07-10 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,256805174,PE,2025-06-23,259304775.0,2025-06-23,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008125,5,92-500 T/M,GUANTE DE NITRILO 92-500-600 TOUCHN TUFF TALLA M MARCA ANSELL,,2025-06-24,UNIDAD,LOCAL,80,80,USD,0.24,19.2,69.18,19.2,1.0,1,,,,,,,,,,0,,,,80,,,,,, ,9708,,,LOCAL,0,0.0,8,6,3,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-10,2026-07-13 00:00:00,2026-07-16 00:00:00,[2026-07-10 00:00:00-2026-07-16 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,256805656,PE,2025-07-03,259305144.0,2025-07-03,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008125,8,92-500 T/M,GUANTE DE NITRILO 92-500-600 TOUCHN TUFF TALLA M MARCA ANSELL,,2025-07-15,UNIDAD,LOCAL,75,75,USD,0.24,18,64.06,18,1.0,1,,,,,,,,,,0,,,,75,,,,,, ,9708,,,LOCAL,0,0.0,8,6,3,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-10,2026-07-13 00:00:00,2026-07-16 00:00:00,[2026-07-10 00:00:00-2026-07-16 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246805378,PE,2024-08-05,249305023.0,2024-08-05,P20548938415,Local,ALCA COMPANY S.A.C,,ST,,,,A18130008126,4,92-500 T/L,GUANTE DE NITRILO 92-500-600 TOUCHN TUFF TALLA L MARCA ANSELL,,2024-08-09,UNIDAD,LOCAL,30,30,USD,11.5,345,1293.06,345,1.0,1,,,,,,,,,,0,,,,30,,,,,, ,9107,,,LOCAL,0,0.0,6,8,4,0,0,0,6,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-08,2026-07-12 00:00:00,2026-07-16 00:00:00,[2026-07-08 00:00:00-2026-07-16 00:00:00],Cat N
MP,MANGUERA Y CONEXION,246805956,PE,2024-08-27,249305586.0,2024-08-26,P20610898654,Local,LHM HYDRAULICS PERU S.A.C.,,OF,247701013.0,MINERA CHINALCO PERÚ S.A.,Cerrado,A22110000186,7,26712DY-24-24Z,"CONEXION R12 A RECTA HEMBRA JIC 1.1/2"" A MANGUERA 1.1/2""",Conexion,2024-08-29,PIEZA,LOCAL,5,5,USD,5.6,28,105.25,28,1.0,1,,,,,,,,,,0,,,,5,,,,,, ,9111,,,LOCAL,0,0.0,0,0,0,19,27,14,11,27,14,6,20,10,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-02,2026-07-02 00:00:00,2026-07-02 00:00:00,[2026-07-02 00:00:00-2026-07-02 00:00:00],Cat N
MP,MANGUERA Y CONEXION,246807898,PE,2024-11-05,249307468.0,2024-11-05,P20100708991,Local,DIVESA SERVICE S.A.,,OF,247701100.0,NEXA RESOURCES CAJAMARQUILLA S.A.,Cerrado,A18110004588,0,020R25MU,"PROTECTOR POLIETILENO NEGRO PARA MANGUERA 3/8"" DIAM. INT 16.0MM",Protector,2024-11-08,METRO,LOCAL,1,1,USD,19.8,19.8,74.73,19.8,1.0,1,,,,,,,,,,0,,,,1,,,,,, ,9133,,,LOCAL,0,0.0,5,7,4,8,10,5,5,8,4,7,16,8,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-07,2026-07-11 00:00:00,2026-07-14 00:00:00,[2026-07-07 00:00:00-2026-07-14 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008223,0,3M,CARTUCHO CA-6003 C/VAPORES ORGANICOS Y GASES ACIDOS PKX2 3M,,2024-11-26,UNIDAD,LOCAL,4,4,USD,12,48,182.26,48,1.0,1,,,,,,,,,,0,,,,4,,,,,, ,9708,,,LOCAL,0,0.0,7,5,3,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-09,2026-07-12 00:00:00,2026-07-14 00:00:00,[2026-07-09 00:00:00-2026-07-14 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A19060000163,2,ET5082,LAMPARA LED ET-L5082 MARCA EWTTO,EPPs,2024-11-26,UNIDAD,LOCAL,11,11,USD,25,275,1044.18,275,1.0,1,,,,,,,,,,0,,,,11,,,,,, ,9708,,,LOCAL,0,0.0,6,2,1,10,34,17,9,28,14,30,96,48,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-08,2026-07-09 00:00:00,2026-07-10 00:00:00,[2026-07-08 00:00:00-2026-07-10 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008100,6,CBADANA T/10,"GUANTE DE CUERO BADANA C/CREMA TECSEG EN388 TALLA 10 CON RIBETE DE 9.5"""" TECSEG""",,2024-11-26,UNIDAD,LOCAL,30,30,USD,1.39,41.7,158.33,41.7,1.0,1,,,,,,,,,,0,,,,30,,,,,, ,9708,,,LOCAL,0,0.0,8,6,3,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-10,2026-07-13 00:00:00,2026-07-16 00:00:00,[2026-07-10 00:00:00-2026-07-16 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008199,9,11-840 T/9,GUANTES HYFEX 11-840 TALLA 9 NYLON CON PALMA  DE NITRILO 11-840,,2024-11-26,UNIDAD,LOCAL,7,7,USD,4.4,30.8,116.95,30.8,1.0,1,,,,,,,,,,0,,,,7,,,,,, ,9708,,,LOCAL,0,0.0,7,7,4,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-09,2026-07-13 00:00:00,2026-07-16 00:00:00,[2026-07-09 00:00:00-2026-07-16 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,246808405,PE,2024-11-22,249307993.0,2024-11-21,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008041,11,RESP.OSCURO MAVERICK,LUNA DE REPUESTO OSCURO PARA  ANTEOJOS MAVERICK (ANTI FOG) ANSI Z87.1-2003,,2024-11-26,UNIDAD,LOCAL,7,7,USD,3.87,27.09,102.86,27.09,1.0,1,,,,,,,,,,0,,,,7,,,,,, ,9708,,,LOCAL,0,0.0,7,1,1,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-09,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-09 00:00:00-2026-07-10 00:00:00],Cat N
MP,MONITOREO CONDICION,256800321,PE,2025-01-13,259300233.0,2025-01-10,P20392954318,Local,MICRO FIBRAS TADEO E.I.R.L.,,OF,247701823.0,SCANIA DEL PERU S A,Cerrado,A19030000209,1,,TUBO DESCARTABLE DE VIDRIO BOROSILICATO RECTO,Herramientas,2025-01-22,UNIDAD,LOCAL,6,6,USD,75,450,1696.05,450,1.0,1,,,,,,,,,,0,,,,6,,,,,, ,9127,,,LOCAL,0,0.0,13,27,14,13,27,14,13,27,14,5,18,9,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-15,2026-07-29 00:00:00,2026-08-11 00:00:00,[2026-07-15 00:00:00-2026-08-11 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,256800712,PE,2025-01-30,259300669.0,2025-01-30,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008016,3,NEBRASKA 44,BOTIN DIELECTRICO NEBRASKA T/44 CUERO HIDROF.P/COMP.KEVLAR TCSG,,2025-02-07,UNIDAD,LOCAL,1,1,USD,73.26,73.26,273.11,73.26,1.0,1,,,,,,,,,,0,,,,1,,,,,, ,9107,,,LOCAL,0,0.0,6,2,1,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-08,2026-07-09 00:00:00,2026-07-10 00:00:00,[2026-07-08 00:00:00-2026-07-10 00:00:00],Cat N
MP,HIDRAULI. COMPONENTE,256801133,PE,2025-02-13,259301062.0,2025-02-13,P20602716431,Local,OHS INDUSTRIALES E.I.R.L.,,OF,247700450.0,SERVICIOS INDUSTRIALES DE LA MARINA S.A.,Cerrado,A18110008711,2,16MJ-16MP,ADAPTER 2404-16-16,Repuestos,2025-02-18,PIEZA,LOCAL,10,10,USD,3.76,37.6,139.65,37.6,1.0,1,,,,,,,,,,0,,,,10,,,,,, ,9133,,,LOCAL,0,0.0,4,7,4,5,12,6,5,11,6,14,69,35,0,0,0,0,0,0,0,0,0,50,56,28,,2026-07-06,2026-07-10 00:00:00,2026-07-13 00:00:00,[2026-07-06 00:00:00-2026-07-13 00:00:00],Cat N
MP,MANGUERA Y CONEXION,256801389,PE,2025-02-24,259301262.0,2025-02-20,P20511843783,Local,COMERCIAL CISGE S.A.C.,,OF,247701812.0,APM TERMINALS CALLAO SOCIEDAD ANONIMA,Cerrado,A20080000044,4,14211L-06-06Z,"ESPIGA R1/R2 RECTA PASAMURO MACHO ORS 3/8"" A MANGUERA  3/8""",Espiga,2025-02-28,PIEZA,LOCAL,6,6,USD,0.585,3.51,12.93,3.51,1.0,1,,,,,,,,,,0,,,,6,,,,,, ,9111,,,LOCAL,0,0.0,3,1,1,5,19,10,5,10,5,11,30,15,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-05,2026-07-06 00:00:00,2026-07-06 00:00:00,[2026-07-05 00:00:00-2026-07-06 00:00:00],Cat N
MP,MANGUERA Y CONEXION,256801467,PE,2025-02-25,259301378.0,2025-02-24,P20511843783,Local,COMERCIAL CISGE S.A.C.,,OF,257700249.0,CORPORACION ACEROS AREQUIPA S.A.,Cerrado,A18110004823,0,1BJ-06-08Z,"ADAPTADOR RECTO MACHO BSP 3/8"" A MACHO JIC 1/2""",Adaptador,2025-02-28,PIEZA,LOCAL,8,8,USD,0.767,6.136,22.65,6.14,1.0,1,,,,,,,,,,0,,,,8,,,,,, ,9111,,,LOCAL,0,0.0,0,0,0,5,7,4,5,10,5,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-02,2026-07-02 00:00:00,2026-07-02 00:00:00,[2026-07-02 00:00:00-2026-07-02 00:00:00],Cat N
MP,SIST DE LUBRICACION,256802226,PE,2025-03-20,259302100.0,2025-03-19,P20100082633,Local,SKF DEL PERU S.A.,,OF,257700319.0,COSCO SHIPPING PORTS CHANCAY PERU S.A.,Cerrado,A25030000129,0,LL/1145,PISTOLA DE GRASA DE PRESIÓN DUAL 21 OZ,Equipos,2025-03-31,EQUIPO,LOCAL,6,6,USD,54.93,329.58,1195.06,329.58,1.0,1,,,,,,,,,,0,,,,6,,,,,, ,9110,,,LOCAL,0,0.0,0,0,0,116,223,112,98,173,87,44,160,80,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-02,2026-07-02 00:00:00,2026-07-02 00:00:00,[2026-07-02 00:00:00-2026-07-02 00:00:00],Cat N
MP,MANGUERA Y CONEXION,256803061,PE,2025-04-11,,2025-04-11,P20511843783,Local,COMERCIAL CISGE S.A.C.,,ST,,,,A25020000143,133,1JN-10-12Z,"ADAPTADOR RECTO MACHO JIC 5/8"" A MACHO NPT 3/4""",Adaptador,2025-04-14,PIEZA,LOCAL,5,5,USD,0.73,3.65,13.63,3.65,1.0,1,,,,,,,,,,0,,,,5,,,,,, ,9111,,,LOCAL,0,0.0,6,2,1,5,7,4,5,10,5,6,11,6,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-08,2026-07-09 00:00:00,2026-07-10 00:00:00,[2026-07-08 00:00:00-2026-07-10 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,256803076,PE,2025-04-14,259302926.0,2025-04-12,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008028,0,T250 T/43,BOTIN DIELECTRICO TECSEG 250 TALLA 43 C/PUNTERA COMPOSITE PLANTILLA DE KEVLAR RESISTENCIA 15KV,,2025-04-15,UNIDAD,LOCAL,2,2,USD,73.26,146.52,546.81,146.52,1.0,1,,,,,,,,,,0,,,,2,,,,,, ,9708,,,LOCAL,0,0.0,8,11,6,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-10,2026-07-16 00:00:00,2026-07-21 00:00:00,[2026-07-10 00:00:00-2026-07-21 00:00:00],Cat N
MP,UNIFORMES Y EQ. SEGU,256803076,PE,2025-04-14,259302926.0,2025-04-12,P20610364226,Local,GRUPO ALCA COMPANY S.A.C.,,ST,,,,A18130008030,2,T250 T/41,BOTIN DIELECTRICO TECSEG 250 TALLA 41 C/PUNTERA COMPOSITE PLANTILLA DE KEVLAR RESISTENCIA 15KV,,2025-04-15,UNIDAD,LOCAL,2,2,USD,73.26,146.52,546.81,146.52,1.0,1,,,,,,,,,,0,,,,2,,,,,, ,9708,,,LOCAL,0,0.0,10,13,7,0,0,0,9,28,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2026-07-12,2026-07-19 00:00:00,2026-07-25 00:00:00,[2026-07-12 00:00:00-2026-07-25 00:00:00],Cat N
