Sociedad,Número de documento,Cancelado,Status de documento,Fecha de contabilización,Fecha de documento,Nº de Factura,Código de cliente/proveedor,Nombre de cliente/proveedor,Linea de Negocio,Número de artículo,Codigo_GET,UM,Dscription,Moneda,TC,Price,OpenSumSys,Monto Pendiente,Cargado A:,Indicador,PO,BaseLine,TargetType,Cantidad Devuelta,Estado Devolución,U_EXM_CARGADOA2,FreeTxt,Fecha ETA Marco,N° Reclamo,Modalidad Final,Modalidad Original,Pais Origen Final,Promedio Tiempo Total,Dias adicionales,Restante,ETA Marco,ETA Marco Maximo,Rango ETA,Cat ETA,% Avance
MP,265126841,N,O,2026-06-04,2026-04-10,936.0,PE0000000014,WALVOIL S.P.A,HIDRAULI. COMPONENTE,A18110001039,D12 LEFT W001A*,PZ,"WORK SECTION D12 D/N 31138, TND",EUR,4.183,172.41,5962.02,5962.02,ST,DI,256809796,0,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,28.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265126841,N,O,2026-06-04,2026-04-10,936.0,PE0000000014,WALVOIL S.P.A,HIDRAULI. COMPONENTE,A18130007654,HC-D12 INLET SE,PZ,"INLET SECTION D12 D/N 37696, IL 009(210)C U05",EUR,4.183,111.76,1104.2,1104.2,ST,DI,256809796,1,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,8.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265126841,N,O,2026-06-04,2026-04-10,936.0,PE0000000014,WALVOIL S.P.A,HIDRAULI. COMPONENTE,A18130007655,HC-D12 OULET SE,PZ,"OUTLET SECTION D12 D/N 18627, TN S U06",EUR,4.183,82.14,811.55,811.55,ST,DI,256809796,2,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,8.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265127793,N,O,2026-06-11,2026-05-29,309.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18110010468,GS4-700-8GT-D90,PZ,MOTOR SAI .GS4-700-8GT-D90,EUR,4.114,2621.4,6314.07,6314.07,ST,DI,256809866,1,-1,0.0,Sin Devolución,,primera temporada de pesca2026,2026-07-31,,MARITIMO,MARITIMO,IT,52.5,30.0,2.0,2026-07-31 00:00:00,2026-07-31 00:00:00,[2026-07-31 00:00:00-2026-07-31 00:00:00],Fecha Comex,0.44761904761904764
MP,265120815,N,C,2026-05-07,2026-02-27,101.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18130007647,GS4-500-8G-D90,PZ,MOTOR SAI,EUR,4.148,2621.08,16178.93,16178.93,ST,DI,256809866,0,-1,0.0,Sin Devolución,,primera temporada de pesca2026,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,5.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A23120000252,0304205145E,UN,JAW STATIONARY FA REG CURVE/0304205145E,EUR,4.183,2640,3182.46,3182.46,OV,DI,256810081,0,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,1.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20050000103,00-83170S,UN,"""ANVIL, HEAVY DUTY, S-SERIES""",EUR,4.183,354,18776.49,18776.49,ST,DI,256810244,0,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,44.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A25050000010,F/01-16.03.05 NE,UN,"PLACA DE IMPACTO 4-M-2, F/01-16.03.05, TAURO 30, NEOX-AMARILLA",EUR,4.183,820,1976.98,1976.98,OV,DI,256810447,0,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,2.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265100439,N,C,2026-01-13,2026-01-02,145272.0,PE0000000334,ALTA EQUIPMENT,EQUIPOS TRANS. MATER,A21040000034,450029,UN,FLINGER OUTER,USD,3.368,440.4,880.8,880.8,OV,91,265700136,1,-1,0.0,Sin Devolución,,,,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,2.0,2026-07-21 00:00:00,2026-07-24 00:00:00,[2026-07-21 00:00:00-2026-07-24 00:00:00],Cat B,0.0
MP,265126028,N,O,2026-06-01,2026-05-28,5810.0,PE6088940157,NORD FLUID S.P.A.,HIDRAULI. COMPONENTE,A18110010628,4535VQ-60A3811C,PZ,BOMBA DOBLE A/N 432659-3,EUR,4.08,2311.81,2757.14,2757.14,ST,DI,265700191,2,-1,0.0,Sin Devolución,,,2026-07-31,,MARITIMO,MARITIMO,IT,52.5,30.0,1.0,2026-07-31 00:00:00,2026-07-31 00:00:00,[2026-07-31 00:00:00-2026-07-31 00:00:00],Fecha Comex,0.44761904761904764
MP,265129378,N,O,2026-06-23,2026-06-18,6679.0,PE6088940157,NORD FLUID S.P.A.,HIDRAULI. COMPONENTE,A18130006679,36M115A 1C20,PZ,MOTOR A/N 312066-3,EUR,4.036,1884.72,2247.85,2247.85,ST,DI,265700191,3,-1,0.0,Sin Devolución,,,,,MARITIMO,MARITIMO,IT,52.5,30.0,1.0,2026-08-12 12:00:00,2026-09-11 12:00:00,[2026-08-12 12:00:00-2026-09-11 12:00:00],Cat A,0.21904761904761905
MP,265126833,N,O,2026-06-04,2026-05-18,261052.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20090000185,406055SX,UN,BOWL LINER MEDIUM,EUR,4.183,1881,27487.24,27487.24,ST,DI,265700218,0,-1,0.0,Sin Devolución,,,2026-07-24,,MARITIMO,MARITIMO,ES,56.5,30.0,12.0,2026-07-24 00:00:00,2026-07-24 00:00:00,[2026-07-24 00:00:00-2026-07-24 00:00:00],Fecha Comex,0.6106194690265486
MP,265126833,N,O,2026-06-04,2026-05-18,261052.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20090000184,1149797,UN,MUELA #  TELSMITH,EUR,4.183,4480,49100.02,49100.02,ST,DI,265700219,0,-1,0.0,Sin Devolución,,,2026-07-24,,MARITIMO,MARITIMO,ES,56.5,30.0,9.0,2026-07-24 00:00:00,2026-07-24 00:00:00,[2026-07-24 00:00:00-2026-07-24 00:00:00],Fecha Comex,0.6106194690265486
MP,265120815,N,C,2026-05-07,2026-02-27,101.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18110010462,0153411212*****,KT,SEAL KIT GM3A-700-D47 INT.B30,EUR,4.148,183.52,4531.2,4531.2,ST,DI,265700271,3,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,20.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265118751,N,C,2026-04-29,2026-04-24,224.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18110010465,0153110094*****,PZ,SHAFT KEYED 55MM FOR GM3A,EUR,4.175,516.15,4979.61,4979.61,ST,DI,265700271,0,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,8.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265120815,N,C,2026-05-07,2026-02-27,101.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18110010517,0154427212,KT,SEAL KIT GM4-1000-D90,EUR,4.148,302.29,4478.21,4478.21,ST,DI,265700271,1,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,12.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265120815,N,C,2026-05-07,2026-02-27,101.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18130005198,140000087,PZ,"ROTARY DISTRIBUTOR D37, D40, D47",EUR,4.148,91.02,449.46,449.46,ST,DI,265700271,4,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,4.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265120815,N,C,2026-05-07,2026-02-27,101.0,PE0000000016,SAI S.P.A.,HIDRAULI. COMPONENTE,A18130005213,190000083,PZ,DISTRIBUTOR COVER D90,EUR,4.148,639.36,1578.61,1578.61,ST,DI,265700271,2,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,2.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265122131,N,C,2026-05-18,2026-02-14,20718.0,PE0000000015,VELJAN HYDRAIR LIMITED,HIDRAULI. COMPONENTE,A18110010584,VS24-10228,PZ,CARTRIDGE KIT VT6ED-B42 (P2),USD,3.358,582.4,4659.2,4659.2,ST,DI,265700297,0,-1,0.0,Sin Devolución,,,2026-08-12,,MARITIMO,MARITIMO,IN,89.0,30.0,8.0,2026-08-12 00:00:00,2026-08-12 00:00:00,[2026-08-12 00:00:00-2026-08-12 00:00:00],Fecha Comex,0.5393258426966292
MP,265122131,N,C,2026-05-18,2026-02-14,20718.0,PE0000000015,VELJAN HYDRAIR LIMITED,HIDRAULI. COMPONENTE,A18110010595,VS14-28180,ST,SHAFT ASSY VT6ED #3  14T,USD,3.358,186.23,1489.84,1489.84,ST,DI,265700297,1,-1,0.0,Sin Devolución,,,2026-08-12,,MARITIMO,MARITIMO,IN,89.0,30.0,8.0,2026-08-12 00:00:00,2026-08-12 00:00:00,[2026-08-12 00:00:00-2026-08-12 00:00:00],Fecha Comex,0.5393258426966292
MP,265122131,N,C,2026-05-18,2026-02-14,20718.0,PE0000000015,VELJAN HYDRAIR LIMITED,HIDRAULI. COMPONENTE,A18110010610,VS24-10219-0,PZ,SEAL KIT VT6ED/T6EDM,USD,3.358,34.8,348,348,ST,DI,265700297,2,-1,0.0,Sin Devolución,,,2026-08-12,,MARITIMO,MARITIMO,IN,89.0,30.0,10.0,2026-08-12 00:00:00,2026-08-12 00:00:00,[2026-08-12 00:00:00-2026-08-12 00:00:00],Fecha Comex,0.5393258426966292
MP,265126841,N,O,2026-06-04,2026-04-10,936.0,PE0000000014,WALVOIL S.P.A,HIDRAULI. COMPONENTE,A18110001041,HC-D12/2 BSPP,PZ,"VALVE D12 DOUBLE D/N 1006932, PORTS BSPP",EUR,4.183,690.25,6819.76,6819.76,ST,DI,265700513,0,-1,0.0,Sin Devolución,,,2026-07-10,,MARITIMO,MARITIMO,IT,52.5,30.0,8.0,2026-07-10 00:00:00,2026-07-10 00:00:00,[2026-07-10 00:00:00-2026-07-10 00:00:00],Fecha Comex,0.8476190476190476
MP,265102630,N,C,2026-02-03,2026-01-30,260102.0,PE91320400,JIANGSU HENGLI HYDRAULIC CO LTD,HIDRAULI. COMPONENTE,A26010000151,JW09046134,UN,STICK CYLINDER 85T,USD,3.345,8206,8206,8206,OV,DI,265700748,0,-1,0.0,Sin Devolución,,,2026-07-03,,MARITIMO,MARITIMO,CN,57.5,30.0,1.0,2026-07-03 00:00:00,2026-07-03 00:00:00,[2026-07-03 00:00:00-2026-07-03 00:00:00],Fecha Comex,0.9826086956521739
MP,265128646,N,O,2026-06-17,2026-06-12,3860520.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A25120000107,1CE30N35S2,UN,SOLENOIDE VALVE 1CE30N35S2,USD,3.394,27.2188,272.19,272.19,OV,DI,265700795,0,-1,0.0,Sin Devolución,,,2026-06-30,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,10.0,2026-06-30 00:00:00,2026-06-30 00:00:00,[2026-06-30 00:00:00-2026-06-30 00:00:00],Fecha Comex,1.105263157894737
MP,265128646,N,O,2026-06-17,2026-06-12,3860520.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A25120000108,SX203NA3H,UN,SOLENOID CART NC - D SX203NA3H 2/2,USD,3.394,75.194,751.94,751.94,OV,DI,265700795,1,-1,0.0,Sin Devolución,,,2026-06-30,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,10.0,2026-06-30 00:00:00,2026-06-30 00:00:00,[2026-06-30 00:00:00-2026-06-30 00:00:00],Fecha Comex,1.105263157894737
MP,265128657,N,O,2026-06-18,2026-06-16,3864187.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A25120000110,1DR2-P-40-S,UN,RELIEF CARTRIGDE 1DR2-P-40-S,USD,3.387,15.2628,76.31,76.31,OV,DI,265700795,3,-1,0.0,Sin Devolución,,,,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,5.0,2026-07-08 00:00:00,2026-07-11 00:00:00,[2026-07-08 00:00:00-2026-07-11 00:00:00],Cat A,0.6842105263157895
MP,265128646,N,O,2026-06-17,2026-06-12,3860520.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A25120000111,1CPBD300-F-2-S,UN,VALVULA 1CPBD300-F-2-S,USD,3.394,182.7448,913.72,913.72,OV,DI,265700795,4,-1,0.0,Sin Devolución,,,2026-06-30,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,5.0,2026-06-30 00:00:00,2026-06-30 00:00:00,[2026-06-30 00:00:00-2026-06-30 00:00:00],Fecha Comex,1.105263157894737
MP,265128646,N,O,2026-06-17,2026-06-12,3860520.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A25120000112,1CPBD90-F-2P,UN,VALVULA 1CPBD90-F-2P,USD,3.394,56.7504,567.5,567.5,OV,DI,265700795,5,-1,0.0,Sin Devolución,,,2026-06-30,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,10.0,2026-06-30 00:00:00,2026-06-30 00:00:00,[2026-06-30 00:00:00-2026-06-30 00:00:00],Fecha Comex,1.105263157894737
MP,265128657,N,O,2026-06-18,2026-06-16,3864187.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A25120000116,3CA80-0.5S,UN,CHECK VALVE  21 14 -  3CA80-0.5S,USD,3.387,26.3172,78.95,78.95000000000000000000000000000001,OV,DI,265700795,6,-1,0.0,Sin Devolución,,,,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,3.0,2026-07-08 00:00:00,2026-07-11 00:00:00,[2026-07-08 00:00:00-2026-07-11 00:00:00],Cat A,0.6842105263157895
MP,265113227,N,C,2026-04-01,2026-02-27,3749182.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A21080000100,568-014-90D,PZ,"ORING PARA ORS DE 1/2"" ( 1/2 - 0.494 X 0.073 ) BUNA-N D:90",USD,3.468,0.0779,42.85,3.895454545454545454545454545454546,ST,91,265700872,3,20,0.0,Sin Devolución,,,,,MARITIMO,MARITIMO,US,39.5,22.5,50.0,2026-08-10 12:00:00,2026-09-02 00:00:00,[2026-08-10 12:00:00-2026-09-02 00:00:00],Cat B,0.012658227848101266
MP,265131327,N,O,2026-06-30,2026-06-24,3872310.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A18110005501,EC215-04RL,MT,"MANGUERA HIDRAULICA SAE100R16 DIAM. INT.1/4"" 400BAR/5800PSI",USD,3.41,2.3622,5102.33,5102.33,ST,DI,265700879,0,-1,0.0,Sin Devolución,,,,,MARITIMO,MARITIMO,TR,83.0,30.5,2159.99,2026-09-18 00:00:00,2026-10-18 12:00:00,[2026-09-18 00:00:00-2026-10-18 12:00:00],Cat A,0.060240963855421686
MP,265113503,N,C,2026-04-06,2026-03-03,3752224.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A22020000131,5601-6-6S,PZ,"ACOPLE HEMBRA RAPIDO HID. ISO A CUERPO 3/8"" A HEMBRA NPT 3/8""/SELLO BUNA 280BAR/4000PSI",USD,3.466,14.22,995.4,14.22,ST,91,265700905,2,20,0.0,Sin Devolución,,,,,MARITIMO,MARITIMO,US,39.5,22.5,1.0,2026-08-10 12:00:00,2026-09-02 00:00:00,[2026-08-10 12:00:00-2026-09-02 00:00:00],Cat B,0.012658227848101266
MP,265126017,N,O,2026-05-31,2026-05-28,3843645.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A18110003272,1WB32,PZ,"FERRULA PRENSABLE R15 MANGUERA 2"" (PELAR)",USD,3.421,34.49,4483.7,4483.7,ST,DI,265700951,0,-1,0.0,Sin Devolución,,,2026-07-17,,MARITIMO,MARITIMO,DE,52.5,30.0,130.0,2026-07-17 00:00:00,2026-07-17 00:00:00,[2026-07-17 00:00:00-2026-07-17 00:00:00],Fecha Comex,0.7142857142857143
MP,265126017,N,O,2026-05-31,2026-05-28,3843645.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A18110003457,1WB20,PZ,"FERRULA PRENSABLE R15 MANGUERA 1.1/4"" (PELAR)",USD,3.421,12.24,1224,1224,ST,DI,265700951,1,-1,0.0,Sin Devolución,,,2026-07-17,,MARITIMO,MARITIMO,DE,52.5,30.0,100.0,2026-07-17 00:00:00,2026-07-17 00:00:00,[2026-07-17 00:00:00-2026-07-17 00:00:00],Fecha Comex,0.7142857142857143
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A20030000007,99914,UN,LINER; UPPER POCKET,EUR,4.183,59,640.11,640.11,ST,DI,265701064,2,-1,0.0,Sin Devolución,,,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,9.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
MP,265128645,N,O,2026-06-17,2026-06-12,3860523.0,PE0000000005,INDUSTRIAL GLOBAL SALES,HIDRAULI. COMPONENTE,A18110000600,02-200853,PZ,VALVE CARTRIDGE N.C. 24VDC  SBV11-10-C-0-24DGH,USD,3.394,45.08,2254,2254,ST,DI,265701079,1,-1,0.0,Sin Devolución,,,2026-06-30,,AEREO,AEREO CONSOLIDADO,US,19.0,3.0,50.0,2026-06-30 00:00:00,2026-06-30 00:00:00,[2026-06-30 00:00:00-2026-06-30 00:00:00],Fecha Comex,1.105263157894737
MP,265129884,N,O,2026-06-24,2026-06-10,3857488.0,PE0000000005,INDUSTRIAL GLOBAL SALES,MANGUERA Y CONEXION,A24100000004,3TRN8-12-200BX,MT,"MANGUERA TERMOPLASTICA SAE100R8 NO CONDUCTIVA DIAM. INT.3/4"" 157BAR/2300PSI",USD,3.375,11.67,1422.81,1422.81,ST,DI,265701106,0,-1,0.0,Sin Devolución,,,2026-07-13,,MARITIMO,MARITIMO,US,39.5,22.5,121.92,2026-07-13 00:00:00,2026-07-13 00:00:00,[2026-07-13 00:00:00-2026-07-13 00:00:00],Fecha Comex,0.7215189873417721
MP,265126828,N,O,2026-06-04,2026-05-07,260961.0,PE9652288052,"ACEROS Y SUMINISTROS, S.L.",EQUIPOS TRANS. MATER,A24120000119,F/16.03.04R NE,UN,"BLOW BAR R, F/01-16.03.04, TAURO 30, NEOX-AMARILLA",EUR,4.183,1030,7449.84,7449.84,ST,DI,265701152,0,-1,0.0,Sin Devolución,,Nuevo ASAI Arja Toromocho y Antamina,2026-07-20,,MARITIMO,MARITIMO,ES,56.5,30.0,6.0,2026-07-20 00:00:00,2026-07-20 00:00:00,[2026-07-20 00:00:00-2026-07-20 00:00:00],Fecha Comex,0.6814159292035398
